 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Shims,FALSE,0.5mm 8ID,9,$0.24,$2.17,,https://www.aliexpress.us/item/3256801859874107.html?spm=a2g0o.cart.0.0.15f038daCs4u0a&mp=1&pdp_npi=6%40dis%21USD%21USD+2.11%21USD+2.11%21%21USD+2.11%21%21%21%402103274e17798188195323949edc27%2112000030487957676%21ct%21US%212824547957%21%211%210%21&gatewayAdapt=glo2usa,,,,,,
SLM Parts,FALSE,Belt Clamp,3,$4.00,$12.00,,https://jlc3dp.com/3d-printing-quote,,,,,,
SLM Parts,FALSE,Z Joints,3,$11.05,$33.15,JLC,https://jlc3dp.com/3d-printing-quote,,,,,,
CNC Parts,FALSE,Z Idlers,3,$21.68,$65.04,JLC,https://jlccnc.com/cnc-machining-quote,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Kumiko Panels,,,,,,,,,,,,,
Magnets,TRUE,6x3mm,12,,,,,,,,,,
Pin,TRUE,5mm x100mm,1,$1.52,$0.00,,,,,,,,
Pin,FALSE,5mm x 50mm,2,$1.69,$3.38,JLC,https://jlcmc.com/product/s/B08/BACA/linear-shaft-solid-straight-g6-tolerance?k=BACA-C2G1-D8-L50&productModelNumber=BACA-C2G1-D8-L%5B12~900%2F1%5D,,,,,,
Bushing,FALSE,9x8mm Bushing 5ID,6,$0.79,$4.71,JLC,https://jlcmc.com/product/s/B01/BWYA/oil-free-bushing-special-bronze-straight-column-inner-diameter-tolerance-f7-e7-outer-diameter-tolerance-m6-r6,,,,,,
Shim,TRUE,0.5mm shim 5ID,6,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
Fasteners,,,,,,,,,,,,,
BHCS,FALSE,M5x45 BHCS,4,$0.16,$0.66,JLC,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw,,,,,,
BHCS,FALSE,M5x40 BHCS,6,$0.09,$0.52,JLC,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw,,,,,,
